VP[0]: 3404	rad: 0.644621
VP[1]: 680	rad: 0.463804
VP[2]: 2471	rad: 0.397078
VP[3]: 3429	rad: 0.269274
VP[4]: 4996	rad: 0.315783
VP[5]: 2724	rad: 0.258515
VP[6]: 763	rad: 0.441081
VP[7]: 3187	rad: 0.216274
VP[8]: 1244	rad: 0.199818
VP[9]: 3830	rad: 0.191634
VP[10]: 3448	rad: 0.258303
VP[11]: 2524	rad: 0.197913
VP[12]: 164	rad: 0.251294
VP[13]: 4423	rad: 0.158293
VP[14]: 1299	rad: 0.197532
VP[15]: 4208	rad: 0.159091
VP[16]: 4192	rad: 0.138688
VP[17]: 3083	rad: 0.144792
VP[18]: 907	rad: 0.331695
VP[19]: 558	rad: 0.0697267
VP[20]: 4996	rad: 0.13941
VP[21]: 3907	rad: 0.156683
VP[22]: 1001	rad: 0.352938
VP[23]: 2819	rad: 0.158332
VP[24]: 2176	rad: 0.222072
VP[25]: 2319	rad: 0.160424
VP[26]: 2003	rad: 0.0675869
VP[27]: 1726	rad: 0.230041
VP[28]: 763	rad: 0.177304
VP[29]: 4686	rad: 0.112134
VP[30]: 4480	rad: 0.541485
VP[31]: 3224	rad: 0.0518716
VP[32]: 3097	rad: 0.0796357
VP[33]: 4274	rad: 0.0512977
VP[34]: 3331	rad: 0.218222
VP[35]: 1181	rad: 0.0599931
VP[36]: 1705	rad: 0.165421
VP[37]: 1738	rad: 0.170411
VP[38]: 3154	rad: 0.307937
VP[39]: 465	rad: 0.0407772
VP[40]: 3873	rad: 0.158579
VP[41]: 4923	rad: 0.0256001
VP[42]: 544	rad: 0.126602
VP[43]: 3548	rad: 0.0497243
VP[44]: 3448	rad: 0.0884956
VP[45]: 3636	rad: 0.0749225
VP[46]: 3903	rad: 0.126623
VP[47]: 2292	rad: 0.139875
VP[48]: 201	rad: 0.143249
VP[49]: 2676	rad: 0.201654
VP[50]: 4536	rad: 0.191127
VP[51]: 250	rad: 0.136003
VP[52]: 1902	rad: 0.170216
VP[53]: 2118	rad: 0.04395
VP[54]: 2397	rad: 0.0294967
VP[55]: 4304	rad: 0.180935
VP[56]: 4494	rad: 0.051493
VP[57]: 654	rad: 0.030939
VP[58]: 4559	rad: 0.279698
VP[59]: 1263	rad: 0.044086
VP[60]: 1385	rad: 0.0914248
VP[61]: 1237	rad: 0.350682
VP[62]: 4869	rad: 0.222996
VP[63]: 3228	rad: 0.0445629
VP[64]: 3543	rad: 0.122627
VP[65]: 3033	rad: 0.02093
VP[66]: 3123	rad: 0.0372177
VP[67]: 4072	rad: 0.0211218
VP[68]: 3562	rad: 0.187243
VP[69]: 4196	rad: 0.0462045
VP[70]: 4200	rad: 0.0428378
VP[71]: 1215	rad: 0.0381415
VP[72]: 3001	rad: 0.0802324
VP[73]: 1233	rad: 0.106308
VP[74]: 1004	rad: 0.0473433
VP[75]: 4128	rad: 0.168491
VP[76]: 4273	rad: 0.164446
VP[77]: 1651	rad: 0.194656
VP[78]: 1676	rad: 0.00957328
VP[79]: 403	rad: 0.0179164
VP[80]: 346	rad: 0.0524731
VP[81]: 3697	rad: 0.0697163
VP[82]: 312	rad: 0.0795258
VP[83]: 4883	rad: 0.0202263
VP[84]: 4996	rad: 0.0996379
VP[85]: 431	rad: 0.0559487
VP[86]: 4940	rad: 0.0415675
VP[87]: 3499	rad: 0.0550899
VP[88]: 3907	rad: 0.120624
VP[89]: 3480	rad: 0.0342698
VP[90]: 3404	rad: 0.142772
VP[91]: 3661	rad: 0.062535
VP[92]: 970	rad: 0.133635
VP[93]: 3714	rad: 0.0503639
VP[94]: 3924	rad: 0.106974
VP[95]: 2837	rad: 0.0850795
VP[96]: 4324	rad: 0.157143
VP[97]: 2398	rad: 0.130792
VP[98]: 4301	rad: 0.190034
VP[99]: 2199	rad: 0.0926707
VP[100]: 2082	rad: 0.0502207
VP[101]: 2803	rad: 0.0221785
VP[102]: 2874	rad: 0.0474477
VP[103]: 2497	rad: 0.11898
VP[104]: 2339	rad: 0.032724
VP[105]: 282	rad: 0.059513
VP[106]: 154	rad: 0.131188
VP[107]: 2201	rad: 0.0199222
VP[108]: 2225	rad: 0.0259302
VP[109]: 2514	rad: 0.0100661
VP[110]: 2067	rad: 0.376405
VP[111]: 1643	rad: 0.124954
VP[112]: 1726	rad: 0.0317479
VP[113]: 4310	rad: 0.0182123
VP[114]: 4636	rad: 0.0900891
VP[115]: 670	rad: 0.0232453
VP[116]: 763	rad: 0.138591
VP[117]: 889	rad: 0.173704
VP[118]: 688	rad: 0.0365269
VP[119]: 1547	rad: 0.0430765
VP[120]: 4910	rad: 0.0823193
VP[121]: 1433	rad: 0.0378962
VP[122]: 4758	rad: 0.140231
VP[123]: 4602	rad: 0.262169
VP[124]: 4513	rad: 0.105569
VP[125]: 1477	rad: 0.0852481
VP[126]: 1999	rad: 0.165473
VP[127]: 3168	rad: 0.0197412
VP[128]: 3111	rad: 0.0230205
VP[129]: 3211	rad: 0.0612511
VP[130]: 2987	rad: 0.0537991
VP[131]: 3164	rad: 0.0157235
VP[132]: 3702	rad: 0.0817452
VP[133]: 2967	rad: 0.0160561
VP[134]: 3608	rad: 0.130659
VP[135]: 4213	rad: 0.0122993
VP[136]: 3983	rad: 0.0383522
VP[137]: 4166	rad: 0.0682901
VP[138]: 4076	rad: 0.0367637
VP[139]: 4297	rad: 0.0307421
VP[140]: 3331	rad: 0.068956
VP[141]: 4224	rad: 0.0260605
VP[142]: 4092	rad: 0.0278754
